geo_id,geo_name,geography_type,parent_metro_code,median_household_income,year
24780,"Greenville, NC",metro,,58188,2024
24860,"Greenville-Anderson-Greer, SC",metro,,71240,2024
25020,"Guayama, PR",metro,,21186,2024
25060,"Gulfport-Biloxi, MS",metro,,62418,2024
25180,"Hagerstown-Martinsburg, MD-WV",metro,,78802,2024
25220,"Hammond, LA",metro,,56760,2024
25260,"Hanford-Corcoran, CA",metro,,70995,2024
25420,"Harrisburg-Carlisle, PA",metro,,80919,2024
25500,"Harrisonburg, VA",metro,,75065,2024
25540,"Hartford-West Hartford-East Hartford, CT",metro,,95118,2024
25620,"Hattiesburg, MS",metro,,60285,2024
25740,"Helena, MT",metro,,78528,2024
25860,"Hickory-Lenoir-Morganton, NC",metro,,62787,2024
25940,"Hilton Head Island-Bluffton-Port Royal, SC",metro,,83304,2024
25980,"Hinesville, GA",metro,,61709,2024
26140,"Homosassa Springs, FL",metro,,56546,2024
26300,"Hot Springs, AR",metro,,57181,2024
26380,"Houma-Bayou Cane-Thibodaux, LA",metro,,64038,2024
26420,"Houston-Pasadena-The Woodlands, TX",metro,,82168,2024
26580,"Huntington-Ashland, WV-KY-OH",metro,,60078,2024
26620,"Huntsville, AL",metro,,85989,2024
26820,"Idaho Falls, ID",metro,,80291,2024
26900,"Indianapolis-Carmel-Greenwood, IN",metro,,79852,2024
26980,"Iowa City, IA",metro,,75088,2024
27060,"Ithaca, NY",metro,,74024,2024
27100,"Jackson, MI",metro,,66073,2024
27140,"Jackson, MS",metro,,61644,2024
27180,"Jackson, TN",metro,,61177,2024
27260,"Jacksonville, FL",metro,,79643,2024
27340,"Jacksonville, NC",metro,,68148,2024
27500,"Janesville-Beloit, WI",metro,,75673,2024
27620,"Jefferson City, MO",metro,,74030,2024
27740,"Johnson City, TN",metro,,57762,2024
27780,"Johnstown, PA",metro,,58418,2024
27860,"Jonesboro, AR",metro,,56738,2024
27900,"Joplin, MO-KS",metro,,61901,2024
27980,"Kahului-Wailuku, HI",metro,,97109,2024
28020,"Kalamazoo-Portage, MI",metro,,72532,2024
28100,"Kankakee, IL",metro,,71281,2024
28140,"Kansas City, MO-KS",metro,,83460,2024
28420,"Kennewick-Richland, WA",metro,,89010,2024
28450,"Kenosha, WI",metro,,81239,2024
28660,"Killeen-Temple, TX",metro,,69923,2024
28700,"Kingsport-Bristol, TN-VA",metro,,57792,2024
28740,"Kingston, NY",metro,,86271,2024
28880,"Kiryas Joel-Poughkeepsie-Newburgh, NY",metro,,98233,2024
28940,"Knoxville, TN",metro,,72422,2024
29020,"Kokomo, IN",metro,,64027,2024
29100,"La Crosse-Onalaska, WI-MN",metro,,73340,2024
29180,"Lafayette, LA",metro,,60892,2024
29200,"Lafayette-West Lafayette, IN",metro,,62011,2024
29340,"Lake Charles, LA",metro,,66700,2024
29404,"Lake County, IL",division,16980,110416,2024
29414,"Lake County-Porter County-Jasper County, IN",division,16980,75120,2024
29420,"Lake Havasu City-Kingman, AZ",metro,,57684,2024
29460,"Lakeland-Winter Haven, FL",metro,,65978,2024
29484,"Lakewood-New Brunswick, NJ",division,35620,112244,2024
29540,"Lancaster, PA",metro,,86959,2024
29620,"Lansing-East Lansing, MI",metro,,72550,2024
29700,"Laredo, TX",metro,,63058,2024
29740,"Las Cruces, NM",metro,,56848,2024
29820,"Las Vegas-Henderson-North Las Vegas, NV",metro,,76472,2024
29940,"Lawrence, KS",metro,,69746,2024
30020,"Lawton, OK",metro,,60665,2024
30140,"Lebanon, PA",metro,,78425,2024
30300,"Lewiston, ID-WA",metro,,72475,2024
30340,"Lewiston-Auburn, ME",metro,,67873,2024
30460,"Lexington-Fayette, KY",metro,,71966,2024
30500,"Lexington Park, MD",metro,,126256,2024
30620,"Lima, OH",metro,,64038,2024
30700,"Lincoln, NE",metro,,75049,2024
30780,"Little Rock-North Little Rock-Conway, AR",metro,,67154,2024
30860,"Logan, UT-ID",metro,,81126,2024
30980,"Longview, TX",metro,,66647,2024
31020,"Longview-Kelso, WA",metro,,76531,2024
31080,"Los Angeles-Long Beach-Anaheim, CA",metro,,95958,2024
31084,"Los Angeles-Long Beach-Glendale, CA",division,31080,90112,2024
31140,"Louisville/Jefferson County, KY-IN",metro,,73863,2024
31180,"Lubbock, TX",metro,,63629,2024
31340,"Lynchburg, VA",metro,,68996,2024
31420,"Macon-Bibb County, GA",metro,,59526,2024
31540,"Madison, WI",metro,,88804,2024
31700,"Manchester-Nashua, NH",metro,,103545,2024
31740,"Manhattan, KS",metro,,65469,2024
31860,"Mankato, MN",metro,,75808,2024
31900,"Mansfield, OH",metro,,59509,2024
32420,"Mayagüez, PR",metro,,21163,2024
32580,"McAllen-Edinburg-Mission, TX",metro,,54338,2024
32780,"Medford, OR",metro,,73999,2024
